SideOfVFD,Product, Class, Size, Unit, Power, Frequency, Part Number, Notes, Notes2, Notes3
Motor, Sine Filter (Z1), 0-200Hz (4-16kHz switching freq), 75, A, 34, , 20Z1G04-1001, , ,
Motor, Sine Filter (Z1), 0-200Hz (4-16kHz switching freq), 90, A, 45, , 21Z1G04-1001, , ,
Motor, Sine Filter (Z1), 0-200Hz (4-16kHz switching freq), 115, A, 55, , 22Z1G04-1001, , ,
Motor, Sine Filter (Z1), 0-200Hz (4-16kHz switching freq), 150, A, 75, , 23Z1G04-1001, , ,
Motor, Sine Filter (Z1), 0-200Hz (4-16kHz switching freq), 180, A, 90, , 24Z1G04-1001, , ,
Motor, Sine Filter (Z1), 0-100Hz (4-16kHz switching freq), 210, A, 110, , 25Z1G04-1000, , ,
Motor, Sine Filter (Z1), 0-100Hz (4-16kHz switching freq), 250, A, 132, , 26Z1G04-1000, , ,
Motor, Sine Filter (Z1), 0-100Hz (4-16kHz switching freq), 300, A, 160, , 27Z1G04-1000, , ,
Motor, Sine Filter (Z1), 0-100Hz (2-16kHz switching freq), 370, A, 200, , 28Z1G04-1000, , ,
Motor, Sine Filter (Z1), 0-100Hz (2-16kHz switching freq), 460, A, 250, , 29Z1G04-1000, , ,
Motor, Sine Filter (Z1), 0-100Hz (2-16kHz switching freq), 570, A, 315, , 30Z1G04-1000, , ,

Motor, Motor Choke (Z1/Z2), 0-100Hz (2kHz switching freq), 1.3, A, 8, , 05Z1F04-1010, 11.3 mH, ,
Motor, Motor Choke (Z1/Z2), 0-100Hz (2kHz switching freq), 2.6, A, 15, , 07Z1F04-1010, 5.6 mH, ,
Motor, Motor Choke (Z1/Z2), 0-100Hz (2kHz switching freq), 4.1, A, 15, , 09Z1F04-1010, 3.18 mH, ,
Motor, Motor Choke (Z1/Z2), 0-100Hz (2kHz switching freq), 5.8, A, 11.7, , 10Z1F04-1010, 2.06 mH, ,
